estado,anio,periodo,fecha,metric,indicador,fuente,valor
Estados Unidos Mexicanos,2010,T2,2010-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,122005.397
Estados Unidos Mexicanos,2010,T3,2010-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,127075.057
Estados Unidos Mexicanos,2010,T4,2010-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,137634.583
Estados Unidos Mexicanos,2010,6 Meses,2010-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,121219.267
Estados Unidos Mexicanos,2010,9 Meses,2010-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,123171.195
Estados Unidos Mexicanos,2010,Anual,2010-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,126787.046
Estados Unidos Mexicanos,2011,T1,2011-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,140841.59
Estados Unidos Mexicanos,2011,T2,2011-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,144987.263
Estados Unidos Mexicanos,2011,T3,2011-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,152125.139
Estados Unidos Mexicanos,2011,T4,2011-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,153733.539
Estados Unidos Mexicanos,2011,6 Meses,2011-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,142914.433
Estados Unidos Mexicanos,2011,9 Meses,2011-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,145984.666
Estados Unidos Mexicanos,2011,Anual,2011-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,147921.887
Estados Unidos Mexicanos,2012,T1,2012-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,156999.18
Estados Unidos Mexicanos,2012,T2,2012-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,155299.066
Estados Unidos Mexicanos,2012,T3,2012-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,155017.946
Estados Unidos Mexicanos,2012,T4,2012-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,167235.002
Estados Unidos Mexicanos,2012,6 Meses,2012-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,156149.128
Estados Unidos Mexicanos,2012,9 Meses,2012-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,155772.062
Estados Unidos Mexicanos,2012,Anual,2012-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,158637.801
Estados Unidos Mexicanos,2013,T1,2013-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,160896.701
Estados Unidos Mexicanos,2013,T2,2013-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,167474.855
Estados Unidos Mexicanos,2013,T3,2013-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,161109.487
Estados Unidos Mexicanos,2013,T4,2013-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,164742.541
Estados Unidos Mexicanos,2013,6 Meses,2013-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,164185.786
Estados Unidos Mexicanos,2013,9 Meses,2013-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,163160.349
Estados Unidos Mexicanos,2013,Anual,2013-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,163555.901
Estados Unidos Mexicanos,2014,T1,2014-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,159082.337
Estados Unidos Mexicanos,2014,T2,2014-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,165490.278
Estados Unidos Mexicanos,2014,T3,2014-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,165240.996
Estados Unidos Mexicanos,2014,T4,2014-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,173158.123
Estados Unidos Mexicanos,2014,6 Meses,2014-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,162286.316
Estados Unidos Mexicanos,2014,9 Meses,2014-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,163271.205
Estados Unidos Mexicanos,2014,Anual,2014-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,165742.936
Estados Unidos Mexicanos,2015,T1,2015-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,164202.8
Estados Unidos Mexicanos,2015,T2,2015-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,169048.387
Estados Unidos Mexicanos,2015,T3,2015-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,173723.116
Estados Unidos Mexicanos,2015,T4,2015-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,178847.239
Estados Unidos Mexicanos,2015,6 Meses,2015-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,166625.603
Estados Unidos Mexicanos,2015,9 Meses,2015-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,168991.435
Estados Unidos Mexicanos,2015,Anual,2015-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,171455.39
Estados Unidos Mexicanos,2016,T1,2016-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,173119.493
Estados Unidos Mexicanos,2016,T2,2016-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,180567.593
Estados Unidos Mexicanos,2016,T3,2016-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,183061.018
Estados Unidos Mexicanos,2016,T4,2016-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,198882.733
Estados Unidos Mexicanos,2016,6 Meses,2016-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,176843.55
Estados Unidos Mexicanos,2016,9 Meses,2016-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,178916.036
Estados Unidos Mexicanos,2016,Anual,2016-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,183907.713
Estados Unidos Mexicanos,2017,T1,2017-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,184982.282
Estados Unidos Mexicanos,2017,T2,2017-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,190552.021
Estados Unidos Mexicanos,2017,T3,2017-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,188899.22
Estados Unidos Mexicanos,2017,T4,2017-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,209069.119
Estados Unidos Mexicanos,2017,6 Meses,2017-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,187767.158
Estados Unidos Mexicanos,2017,9 Meses,2017-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,188144.507
Estados Unidos Mexicanos,2017,Anual,2017-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,193375.664
Estados Unidos Mexicanos,2018,T1,2018-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,199235.947
Estados Unidos Mexicanos,2018,T2,2018-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,206091.313
Estados Unidos Mexicanos,2018,T3,2018-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,207650.421
Estados Unidos Mexicanos,2018,T4,2018-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,220811.725
Estados Unidos Mexicanos,2018,6 Meses,2018-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,202663.635
Estados Unidos Mexicanos,2018,9 Meses,2018-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,204325.893
Estados Unidos Mexicanos,2018,Anual,2018-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,208447.358
Estados Unidos Mexicanos,2019,T1,2019-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,220848.288
Estados Unidos Mexicanos,2019,T2,2019-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,219860.663
Estados Unidos Mexicanos,2019,T3,2019-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,219375.862
Estados Unidos Mexicanos,2019,T4,2019-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,231105.175
Estados Unidos Mexicanos,2019,6 Meses,2019-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,220354.483
Estados Unidos Mexicanos,2019,9 Meses,2019-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,220028.272
Estados Unidos Mexicanos,2019,Anual,2019-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,222797.501
Estados Unidos Mexicanos,2020,T1,2020-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,249815.626
Estados Unidos Mexicanos,2020,T2,2020-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,166218.009
Estados Unidos Mexicanos,2020,T3,2020-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,235000.192
Estados Unidos Mexicanos,2020,T4,2020-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,271905.702
Estados Unidos Mexicanos,2020,6 Meses,2020-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,208016.825
Estados Unidos Mexicanos,2020,9 Meses,2020-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,217011.273
Estados Unidos Mexicanos,2020,Anual,2020-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,230734.884
Estados Unidos Mexicanos,2021,T1,2021-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,296172.792
Estados Unidos Mexicanos,2021,T2,2021-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,309706.748
Estados Unidos Mexicanos,2021,T3,2021-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,335120.979
Estados Unidos Mexicanos,2021,T4,2021-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,361104.141
Estados Unidos Mexicanos,2021,6 Meses,2021-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,302939.78
Estados Unidos Mexicanos,2021,9 Meses,2021-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,313666.84
Estados Unidos Mexicanos,2021,Anual,2021-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,325526.168
Estados Unidos Mexicanos,2022,T1,2022-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,359796.54
Estados Unidos Mexicanos,2022,T2,2022-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,370579.604
Estados Unidos Mexicanos,2022,T3,2022-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,386806.294
Estados Unidos Mexicanos,2022,T4,2022-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,412131.143
Estados Unidos Mexicanos,2022,6 Meses,2022-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,365188.081
Estados Unidos Mexicanos,2022,9 Meses,2022-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,372394.147
Estados Unidos Mexicanos,2022,Anual,2022-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,382328.398
Estados Unidos Mexicanos,2023,T1,2023-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,427411.159
Estados Unidos Mexicanos,2023,T2,2023-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,426762.324
Estados Unidos Mexicanos,2023,T3,2023-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,430558.606
Estados Unidos Mexicanos,2023,T4,2023-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,448197.134
Estados Unidos Mexicanos,2023,6 Meses,2023-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,427086.75
Estados Unidos Mexicanos,2023,9 Meses,2023-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,428244.031
Estados Unidos Mexicanos,2023,Anual,2023-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,433232.312
Estados Unidos Mexicanos,2024,T1,2024-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,446302.311
Estados Unidos Mexicanos,2024,T2,2024-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,462685.176
Estados Unidos Mexicanos,2024,T3,2024-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,457477.194
Estados Unidos Mexicanos,2024,T4,2024-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,490475.683
Estados Unidos Mexicanos,2024,6 Meses,2024-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,454493.75
Estados Unidos Mexicanos,2024,9 Meses,2024-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,455488.227
Estados Unidos Mexicanos,2024,Anual,2024-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,464235.094
Estados Unidos Mexicanos,2025,T1P,2025-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,481176.068
