estado,anio,periodo,fecha,metric,indicador,fuente,valor
Estados Unidos Mexicanos,2010,9 Meses,2010-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1866611.0
Estados Unidos Mexicanos,2010,Anual,2010-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1904630.0
Estados Unidos Mexicanos,2011,T1,2011-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1935003.0
Estados Unidos Mexicanos,2011,T2,2011-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1947197.0
Estados Unidos Mexicanos,2011,T3,2011-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1986069.0
Estados Unidos Mexicanos,2011,T4,2011-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1973811.0
Estados Unidos Mexicanos,2011,6 Meses,2011-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1941100.0
Estados Unidos Mexicanos,2011,9 Meses,2011-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1956090.0
Estados Unidos Mexicanos,2011,Anual,2011-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1960520.0
Estados Unidos Mexicanos,2012,T1,2012-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2005075.0
Estados Unidos Mexicanos,2012,T2,2012-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1993909.0
Estados Unidos Mexicanos,2012,T3,2012-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1979940.0
Estados Unidos Mexicanos,2012,T4,2012-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2095588.0
Estados Unidos Mexicanos,2012,6 Meses,2012-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1999492.0
Estados Unidos Mexicanos,2012,9 Meses,2012-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1992975.0
Estados Unidos Mexicanos,2012,Anual,2012-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2018628.0
Estados Unidos Mexicanos,2013,T1,2013-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1997816.0
Estados Unidos Mexicanos,2013,T2,2013-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2073986.0
Estados Unidos Mexicanos,2013,T3,2013-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2011484.0
Estados Unidos Mexicanos,2013,T4,2013-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2030314.0
Estados Unidos Mexicanos,2013,6 Meses,2013-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2035901.0
Estados Unidos Mexicanos,2013,9 Meses,2013-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2027762.0
Estados Unidos Mexicanos,2013,Anual,2013-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2028400.0
Estados Unidos Mexicanos,2014,T1,2014-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1890529.0
Estados Unidos Mexicanos,2014,T2,2014-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1963076.0
Estados Unidos Mexicanos,2014,T3,2014-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1960003.0
Estados Unidos Mexicanos,2014,T4,2014-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2042439.0
Estados Unidos Mexicanos,2014,6 Meses,2014-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1926803.0
Estados Unidos Mexicanos,2014,9 Meses,2014-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1937870.0
Estados Unidos Mexicanos,2014,Anual,2014-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1964012.0
Estados Unidos Mexicanos,2015,T1,2015-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2126208.0
Estados Unidos Mexicanos,2015,T2,2015-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2204060.0
Estados Unidos Mexicanos,2015,T3,2015-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2237654.0
Estados Unidos Mexicanos,2015,T4,2015-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2246650.0
