Fecha,vab_informal_real_millones,remuneraciones_informal_reales_millones,puestos_trabajo_informal_unidades,ISR,IVA,ingreso_obrero_patronal_nacional,ISR_sobre_VAB_informal_pct,IVA_sobre_VAB_informal_pct,IMSS_sobre_Remuneraciones_informal_pct
2010-03-31,1422811.988,179446.7929697965,1816890.0,173724.58000000002,131175.78100000002,38859.0,12.209946322155956,9.219473978736255,21.654886864732397
2010-06-30,1484186.29,183418.6728220401,1862466.0,152084.123,118488.984,40907.0,10.246969940680424,7.983430705319343,22.302527529293354
2010-09-30,1513574.545,189449.1762039993,1920476.0,144706.301,126625.511,42113.0,9.560566506488124,8.365991051996716,22.229180851466268
2010-12-31,1577802.345,199890.6528377993,2018688.0,156015.409,128218.986,40938.0,9.888146604320076,8.126428915910884,20.480197257256957
2011-03-31,1545957.882,196380.802364881,1935003.0,195852.546,131121.957,43521.0,12.668685756602002,8.48159956533667,22.161534873015118
2011-06-30,1565761.952,198317.3676271409,1947197.0,172748.678,123689.989,44676.0,11.032882602578404,7.899667560704655,22.52752773725594
2011-09-30,1599942.945,205661.87107768148,1986069.0,170625.75699999998,124618.507,46055.0,10.664490101551714,7.788934436033905,22.39355295109824
2011-12-31,1623368.868,206753.2005371836,1973811.0,181218.328,157712.088,46183.0,11.163102334422739,9.715111032916518,22.33726001822845
2012-03-31,1650941.682,210302.77671677803,2005075.0,217675.759,140924.252,47119.0,13.18494537834317,8.5359921271889,22.405315201071634
2012-06-30,1657361.014,209883.60716829324,1993909.0,183037.295,138268.549,48899.0,11.043900119156538,8.342693464611688,23.29815113230391
2012-09-30,1623910.852,209540.63554048503,1979940.0,174732.809,151568.995,50503.0,10.760000081580834,9.33357855286997,24.101769029063764
2012-12-31,1716501.196,225264.64963093805,2095588.0,183466.593,149225.671,50673.0,10.688404612099086,8.693595515560597,22.49487439907683
2013-03-31,1612925.431,215243.0247820188,1997816.0,225371.119,139195.747,50899.0,13.972817011154188,8.630017502650437,23.64722390030827
2013-06-30,1709601.332,223427.59994017784,2073986.0,245125.97,130303.027,52684.0,14.33819484179017,7.621837007319318,23.579897924028188
2013-09-30,1648455.794,214231.9924178037,2011484.0,215308.656,141496.599,54194.0,13.061233233167307,8.58358468058501,25.296875311838914
2013-12-31,1681579.64,216784.85345221224,2030314.0,219717.74,145798.51799999998,54024.0,13.066151300452233,8.670330832502229,24.9205602419585
2014-03-31,1609952.069,202243.41129534665,1890529.0,273723.642,169629.729,54529.0,17.001974609717404,10.536321687226579,26.962064994230367
2014-06-30,1689547.145,209814.4972973044,1963076.0,252144.376,163929.848,56895.0,14.923784562401185,9.70259092710905,27.116810674612502
2014-09-30,1676827.941,208330.2090773779,1960003.0,220942.371,165789.046,58660.0,13.176210009253417,9.88706366027807,28.157222257772773
2014-12-31,1732233.224,216842.43507719573,2042439.0,239055.675,167736.43,58801.0,13.800432394893264,9.68324747938214,27.11692477492558
2015-03-31,1577915.77,202356.06208993145,2126208.0,378026.095,173815.302,59210.0,23.957305084795493,11.015499388791836,29.26030452879923
2015-06-30,1629649.996,208830.8923758635,2204060.0,292294.632,172493.557,62094.0,17.936037352648817,10.584699624053508,29.73410652684486
2015-09-30,1648602.281,214318.80806325248,2237654.0,278586.954,192409.332,63686.0,16.898372470467304,11.671058218073641,29.715544135167164
2015-12-31,1664928.915,219419.9967867616,2246650.0,288685.502,168494.644,63878.0,17.339208863460694,10.120230508459876,29.112205330163416
2016-03-31,1558655.284,208707.7924859999,2193542.0,418443.421,187775.786,64588.0,26.846437778476744,12.047294095594264,30.94661642992202
2016-06-30,1629623.227,217223.45771090512,2234761.0,348082.294,186487.051,66912.0,21.359679233388835,11.443568544571315,30.803303061794907
2016-09-30,1632572.861,217256.4222877109,2196873.0,304229.043,211717.75,68995.0,18.634944281362767,12.968349227018052,31.7574041188207
2016-12-31,1739993.682,230812.95631417367,2285528.0,355260.69999999995,205719.658,68341.0,20.417355745318158,11.823011780338177,29.60882313165162
2017-03-31,1595260.166,198354.6099299143,2053593.0,420118.438,200634.278,69054.14,26.33541831947179,12.576900136801886,34.81347876129487
2017-06-30,1638455.647,199921.3138639408,2090040.0,412281.86,199320.962,72773.4,25.162833107803984,12.165172878799325,36.401021278565096
2017-09-30,1610319.318,195494.9212347573,2055861.0,353121.803,237656.168,75042.22,21.928682035471926,14.75832559067642,38.38576446182283
2017-12-31,1753888.428,213966.0337830052,2207186.0,382715.384,178436.706,74834.85,21.82096522732745,10.173777485006589,34.9751073461941
2018-03-31,1671758.134,200486.12852174783,2104727.0,437596.914,234439.989,75668.23999999999,26.175850746600883,14.023559044337212,37.7423817587419
2018-06-30,1754956.691,207436.1767884778,2172441.0,439722.558,226414.302,80643.11,25.056034730375004,12.901418203715659,38.87610697830765
